index,runtime_us,wake_interval_us,jitter_us
0,579,0,110
1,505,29942,53
2,484,30035,89
3,496,29957,47
4,499,30009,56
5,490,29991,48
6,420,30003,52
7,497,29997,49
8,497,30000,50
9,487,29998,49
10,491,30000,49
11,501,30001,51
12,501,29998,50
13,549,30011,61
14,493,29990,52
15,514,29996,49
16,487,29996,45
17,420,30003,49
18,495,30001,51
19,498,29995,47
20,476,30030,77
21,502,29967,45
22,495,30003,49
23,505,30000,49
24,432,29998,48
25,504,30000,49
26,492,29998,47
27,503,30001,49
28,507,30001,50
29,509,29999,49
30,495,29997,47
31,556,30006,54
32,506,29996,50
33,490,29996,47
34,506,30005,53
35,450,30036,89
36,477,29970,60
37,477,30030,91
38,487,29995,87
39,500,29956,43
40,497,30006,50
41,502,30003,54
42,436,30001,55
43,506,29992,48
44,494,29996,45
45,503,30006,51
46,491,29995,47
47,509,30002,50
48,497,30004,54
49,562,30001,56
50,501,29981,38
51,513,30013,51
52,505,30004,56
53,424,29986,43
54,495,30006,50
55,504,30000,50
56,482,30032,83
57,494,29967,51
58,489,29998,49
59,506,30001,51
60,442,30010,62
61,476,29987,49
62,504,30002,51
63,510,30007,59
64,506,29992,51
65,509,29998,50
66,499,30001,52
67,567,29997,49
68,499,30003,53
69,504,29996,50
70,491,30003,53
71,430,29989,43
72,495,30006,50
73,502,29997,48
74,479,30039,87
75,507,29960,48
76,503,30002,51
77,494,29999,50
78,434,29991,42
79,503,30006,49
80,491,29999,48
81,502,29998,47
82,492,30000,48
83,502,30002,50
84,477,30010,61
85,541,29993,55
86,510,29995,50
87,507,29999,50
88,483,30114,165
89,430,29907,72
90,499,29980,53
91,504,29983,37
92,513,30015,53
93,504,30006,59
94,503,29994,54
95,505,30001,55
96,427,29996,51
97,500,30001,53
98,495,29988,42
99,498,30010,52
100,510,29999,52
101,514,29993,46
102,504,30007,53
103,592,30005,59
104,493,29989,49
105,501,30003,52
106,499,30003,56
107,431,29993,50
108,499,29999,50
109,497,30002,52
110,476,30049,102
111,502,29950,53
112,496,29998,51
113,491,29998,50
114,424,29998,49
115,503,30005,54
116,493,29993,48
117,505,30002,51
118,486,29991,42
119,510,30006,49
120,492,30000,50
121,550,30010,60
122,503,29987,48
123,508,30001,50
124,508,29999,49
125,424,30005,55
126,489,29992,48
127,513,30004,53
128,525,30002,54
129,494,29993,48
130,490,29998,47
131,509,30003,50
132,430,29990,41
133,493,30004,46
134,496,29996,42
135,506,30004,47
136,493,29992,40
137,505,30010,50
138,497,29993,44
139,547,30011,56
140,489,30026,82
141,475,30006,89
142,468,29986,76
143,435,29977,53
144,505,29996,50
145,506,30001,52
146,512,30001,54
147,502,29996,50
148,508,30003,54
149,503,29997,52
150,422,29997,49
151,509,30002,52
152,510,29993,46
153,505,29998,44
154,854,30004,49
155,509,29999,49
156,498,30002,51
157,521,30000,52
158,501,29996,49
159,511,30000,49
160,495,29998,48
161,424,30002,51
162,506,30004,55
163,494,29992,47
164,516,30005,53
165,503,29997,51
166,490,30000,51
167,502,29997,49
168,428,30003,53
169,501,29991,44
170,496,30006,51
171,500,29998,50
172,504,30003,53
173,493,29987,41
174,500,30004,46
175,543,30015,61
176,500,29985,47
177,492,29987,35
178,503,30026,61
179,432,29979,41
180,504,30006,48
181,493,29989,38
182,522,30022,60
183,496,29980,41
184,491,30008,50
185,502,30005,55
186,424,29987,43
187,505,30005,49
188,496,30002,51
189,514,30001,53
190,489,29992,46
191,511,30003,49
192,495,30028,78
193,538,30027,106
194,507,29944,50
195,518,30013,63
196,497,29988,52
197,418,29997,49
198,494,29999,49
199,510,29997,47
200,524,30007,55
201,506,29991,46
202,508,30007,54
203,511,29989,44
204,424,30009,53
205,497,29996,50
206,507,30000,51
207,501,30003,54
208,500,29992,47
209,506,30006,54
210,501,29995,49
211,524,30004,54
212,497,29992,47
213,509,30004,51
214,495,29998,50
215,425,29996,47
216,506,30003,51
217,506,29995,46
218,517,30007,54
219,518,29996,51
220,501,29992,43
221,490,30005,49
222,418,29998,48
223,511,30004,52
224,500,29986,39
225,505,30007,47
226,514,29998,45
227,507,30001,47
228,465,30018,65
229,536,30000,65
230,504,29987,53
231,509,29993,47
232,492,30000,47
233,420,30004,52
234,489,29994,47
235,503,29999,47
236,546,30017,64
237,503,29980,45
238,493,30002,48
239,502,30002,50
240,435,29998,49
241,491,30000,50
242,493,29999,49
243,509,30019,69
244,467,30004,74
245,477,29993,67
246,510,29984,52
247,537,29999,52
248,500,29997,49
249,491,30000,50
250,499,30004,55
251,426,29993,48
252,493,29999,48
253,816,29997,46
254,530,30010,57
255,499,29997,54
256,499,29999,54
257,500,29992,47
258,423,30003,50
259,496,29997,48
260,505,30012,61
261,499,29991,52
262,495,29999,51
263,511,30000,52
264,506,29999,51
265,433,30002,54
266,489,29996,51
267,513,29993,44
268,495,30005,50
269,420,29991,42
270,498,30010,53
271,509,29985,38
272,527,30015,54
273,499,29984,39
274,497,30015,54
275,494,29987,42
276,428,30009,52
277,510,30002,54
278,493,29988,43
279,468,30011,55
280,494,29992,47
281,506,30007,55
282,496,29993,49
283,497,30013,62
284,504,29989,52
285,490,30002,55
286,484,29995,50
287,429,30002,53
288,507,29994,48
289,497,30004,53
290,542,30010,63
291,509,29988,52
292,471,30011,64
293,496,29987,51
294,428,30008,60
295,506,29990,50
296,478,30027,77
297,491,30022,100
298,507,29956,57
299,511,29997,54
300,496,29989,44
301,443,30014,59
302,491,29983,42
303,505,30004,47
304,496,30007,55
305,430,29990,46
306,500,29997,43
307,498,30008,52
308,557,30000,53
309,493,30001,54
310,497,29990,45
311,503,30007,53
312,433,29991,44
313,498,30005,50
314,496,30003,54
315,478,30018,72
316,489,29969,42
317,494,30009,52
318,497,30004,56
319,435,29998,55
320,495,29997,53
321,496,30003,56
322,503,29993,50
323,424,29998,49
324,498,29997,47
325,507,30006,53
326,529,30000,54
327,505,29997,52
328,493,29996,47
329,506,30000,48
330,423,30005,54
331,501,30000,54
332,504,29997,52
333,463,30010,63
334,499,29986,49
335,514,30002,52
336,491,29997,50
337,432,30011,61
338,493,29988,50
339,516,29996,47
340,498,30001,48
341,421,29998,47
342,498,30005,53
343,506,29989,43
344,530,30017,60
345,490,29984,45
346,510,30007,53
347,496,29991,44
348,449,30044,89
349,485,29989,79
350,506,29975,54
351,491,29987,42
352,492,30109,152
353,501,29894,46
354,501,30005,52
355,433,30004,57
356,501,29990,47
357,490,30001,49
358,498,30006,56
359,429,29995,52
360,494,29997,49
361,491,29998,48
362,524,30018,66
363,505,29983,49
364,507,30005,55
365,499,29999,55
366,424,30001,56
367,502,29995,52
368,499,29992,45
369,472,30005,50
370,502,30001,52
371,508,30000,53
372,493,29999,52
373,427,30004,57
374,492,29991,49
375,507,30005,54
376,499,29998,53
377,417,29991,45
378,500,29999,45
379,499,30006,51
380,543,30003,55
381,495,29997,53
382,490,29996,49
383,508,30004,54
384,425,29997,52
385,505,30002,54
386,486,29995,50
387,486,30006,57
388,494,29984,41
389,499,30007,49
390,493,29989,39
391,435,30021,60
392,499,29981,42
393,488,30007,50
394,501,29995,45
395,423,30009,54
396,496,29997,52
397,496,30001,54
398,532,30004,58
399,507,29993,52
400,501,30034,87
401,482,29998,85
402,433,29998,84
403,514,29964,49
404,519,30008,57
405,500,30029,87
406,514,29964,52
407,518,29993,45
408,500,30008,54
409,425,29990,45
410,492,30008,53
411,506,29989,43
412,503,30012,56
413,419,29986,43
414,493,30010,53
415,504,29988,42
416,526,30013,56
417,493,29986,42
418,507,30012,55
419,500,29988,44
420,423,30008,52
421,505,29990,43
422,499,30001,45
423,481,30038,83
424,503,29964,48
425,491,29992,41
426,493,30010,51
427,422,29990,42
428,521,30005,47
429,516,30006,53
430,521,30000,54
431,451,29991,46
432,495,30002,49
433,491,29993,42
434,541,30020,63
435,510,29980,44
436,503,30007,51
437,513,30004,56
438,423,29996,53
439,515,30003,56
440,488,29992,49
441,486,30045,95
442,493,29956,51
443,498,30000,52
444,496,29995,48
445,424,30009,57
446,493,29994,52
447,507,29999,52
448,500,29999,51
449,421,29994,46
450,491,30003,50
451,497,30000,51
452,541,30009,60
453,480,30054,115
454,486,29966,82
455,510,29972,54
456,421,29998,53
457,495,29996,50
458,481,30025,75
459,487,30007,83
460,490,29964,48
461,497,29999,47
462,501,30000,47
463,428,30004,52
464,497,29994,46
465,500,30001,48
466,501,30004,53
467,422,29995,49
468,498,30008,57
469,500,29995,53
470,545,29990,44
471,498,30007,51
472,517,29995,47
473,506,30005,53
474,418,29988,41
475,512,30004,46
476,499,30004,51
477,468,30023,74
478,494,29962,37
479,509,30015,53
480,497,29990,43
481,421,30001,45
482,503,30008,54
483,503,29994,48
484,501,30005,54
485,494,29994,49
486,501,29997,47
487,502,30002,49
488,542,30003,53
489,498,29997,51
490,495,29996,47
491,499,30000,48
492,420,29993,42
493,505,30011,53
494,502,29992,46
495,502,30001,47
496,504,30002,49
497,500,30000,50
498,492,29997,48
499,438,30007,55
500,479,30060,116
501,504,29934,51
502,489,30000,52
503,511,29994,46
504,499,30003,50
505,471,30014,65
506,542,30039,104
507,513,29946,51
508,496,29996,48
509,507,29992,40
510,425,30010,51
511,503,29991,43
512,495,30002,45
513,479,30049,95
514,491,29953,49
515,499,29994,43
516,507,30011,55
517,426,29995,51
518,492,29998,49
519,499,29994,44
520,504,30008,53
521,496,29989,43
522,494,30005,48
523,509,30003,52
524,545,30002,55
525,499,29994,49
526,498,29996,46
527,513,30006,53
528,429,29992,44
529,496,30003,48
530,516,30001,50
531,521,30007,57
532,494,29989,47
533,500,30002,50
534,505,29998,48
535,421,30004,53
536,500,29993,47
537,501,30000,47
538,497,30004,52
539,500,29995,48
540,503,30002,51
541,502,29998,49
542,513,30006,56
543,504,29989,46
544,504,30008,54
545,497,29996,51
546,431,29997,49
547,516,29999,48
548,495,30000,49
549,506,30001,51
550,499,29999,50
551,509,30001,52
552,491,29997,50
553,420,30000,50
554,498,30003,54
555,494,29994,49
556,491,29999,49
557,431,30067,116
558,475,29957,74
559,507,29976,51
560,529,30004,55
561,512,29995,51
562,501,29997,48
563,499,30000,48
564,428,30007,56
565,499,29992,49
566,495,29997,46
567,546,30016,63
568,507,29987,51
569,500,29992,43
570,502,30008,52
571,435,30002,55
572,493,29994,49
573,494,29990,40
574,495,30005,46
575,510,29996,43
576,490,30008,51
577,488,29985,37
578,530,30022,60
579,501,29981,41
580,507,30009,51
581,507,30004,56
582,426,29995,51
583,506,29999,51
584,495,29995,47
585,519,30008,55
586,496,29993,49
587,505,30000,50
588,502,30000,50
589,417,30000,51
590,488,29996,48
591,662,30134,182
592,493,29867,50
593,490,30000,51
594,498,29991,43
595,510,30009,51
596,523,29999,51
597,503,29999,51
598,502,30000,51
599,504,29996,48
600,419,29999,48
601,506,30005,53
602,499,29989,43
603,525,30010,54
604,496,29997,51
605,502,30000,52
606,486,29990,43
607,427,30014,57
608,500,29985,43
609,476,30045,89
610,468,29990,80
611,622,30113,193
612,507,29847,41
613,490,30007,49
614,523,30009,58
615,507,29993,52
616,493,29987,40
617,493,30009,49
618,425,29992,42
619,508,30007,50
620,501,30004,54
621,526,30001,56
622,496,29996,53
623,507,29994,47
624,498,30003,51
625,414,29996,48
626,504,30001,49
627,504,29997,47
628,471,30018,65
629,504,29983,49
630,488,30000,49
631,500,29998,48
632,521,30008,57
633,509,29993,50
634,503,30001,52
635,504,30003,56
636,431,29996,52
637,495,29994,47
638,497,30005,53
639,550,30009,62
640,493,29986,49
641,499,29999,49
642,493,29999,48
643,438,29999,48
644,494,29999,48
645,493,29990,38
646,499,30031,70
647,509,29982,53
648,501,29988,42
649,505,30009,51
650,531,30001,53
651,507,29996,50
652,498,29998,48
653,502,29999,48
654,429,29998,47
655,508,30004,51
656,487,30034,86
657,531,29966,53
658,493,29996,49
659,506,30001,51
660,502,29998,50
661,439,30051,101
662,478,29991,92
663,484,29979,72
664,512,29978,51
665,500,30001,52
666,493,29994,47
667,508,30001,49
668,530,30009,58
669,497,29990,49
670,504,29995,45
671,503,30004,49
672,425,29991,41
673,502,30005,47
674,488,29995,42
675,553,30011,54
676,501,29998,53
677,499,29997,50
678,499,29987,38
679,428,30013,52
680,493,29989,41
681,494,30006,48
682,499,30003,52
683,502,29995,48
684,508,29992,40
685,509,30010,51
686,525,30001,53
687,505,29995,48
688,499,29990,39
689,507,30006,46
690,429,29995,41
691,522,30006,48
692,499,30002,51
693,530,30003,54
694,498,29985,40
695,510,30010,50
696,491,29988,38
697,423,30013,52
698,492,29987,40
699,503,30008,49
700,486,30011,60
701,506,29988,49
702,500,30000,50
703,506,29998,48
704,498,29993,42
705,501,30006,49
706,497,29993,42
707,508,30004,47
708,432,30064,112
709,505,29940,52
710,488,29986,39
711,563,30016,56
712,496,29979,35
713,500,30007,43
714,851,30047,91
715,434,29989,80
716,513,29965,46
717,497,30002,49
718,480,30010,60
719,515,29992,52
720,494,29990,43
721,509,30006,50
722,488,29995,45
723,512,30003,49
724,501,30002,52
725,503,29998,50
726,498,29993,44
727,501,30003,48
728,500,29990,37
729,550,30016,54
730,487,29983,38
731,505,30012,50
732,508,29995,46
733,422,30003,50
734,490,29993,43
735,516,30007,51
736,467,30002,54
737,492,29993,48
738,492,29994,42
739,513,30006,49
740,431,29994,44
741,499,30006,50
742,514,29993,44
743,517,30005,50
744,490,29992,42
745,503,30004,47
746,502,30004,52
747,553,29999,51
748,501,29990,42
749,506,30009,52
750,494,29992,44
751,424,30005,50
752,500,29994,45
