tick,time_us,write_time_us
0,191,3
120,1200059,3
127,1270063,3
175,1750065,4
200,2000054,4
270,2700053,3
335,3350056,3
390,3900058,3
415,4150062,3
485,4850080,3
520,5200066,4
550,5500066,4
605,6050062,4
630,6300049,3
660,6600049,4
705,7050054,3
735,7350051,4
760,7600064,2
767,7670075,4
815,8150062,3
835,8350063,4
870,8700057,3
925,9250063,4
950,9500070,3
960,9600060,3
980,9800061,4
995,9950060,3
1010,10100059,4
1025,10250059,3
1035,10350052,3
1085,10850069,3
1140,11400053,4
1165,11650063,3
1190,11900061,15
1197,11970172,4
1245,12450055,4
1285,12850065,3
1300,13000075,3
1355,13550113,4
1385,13850105,4
1460,14600093,4
1515,15150050,4
1540,15400063,4
1565,15650097,4
1595,15950098,3
1620,16200082,4
1640,16400087,4
1655,16550058,4
1670,16700089,4
1700,17000096,3
1780,17800070,3
1805,18050084,4
1812,18120094,4
1835,18350088,4
1855,18550065,3
1870,18700067,3
1890,18900078,4
1910,19100083,2
1940,19400089,3
1980,19800050,3
2020,20200065,3
2027,20270117,2
2050,20500069,4
2075,20750089,3
2105,21050093,4
2130,21300058,4
2205,22050066,3
2265,22650061,3
2315,23150066,4
2370,23700050,4
2377,23770069,4
2395,23950066,3
2425,24250062,4
2450,24500054,3
2457,24570075,4
2465,24650059,4
2480,24800069,4
2505,25050047,4
2530,25300071,3
2585,25850061,3
2615,26150060,4
2640,26400083,4
2665,26650071,4
2690,26900085,3
2697,26970083,4
2705,27050082,3
2725,27250064,4
2745,27450081,3
2775,27750091,4
2785,27850077,3
2800,28000062,4
2825,28250084,3
2832,28320051,3
2855,28550076,3
2880,28800061,3
2887,28870081,4
2895,28950079,4
2905,29050071,4
2912,29120076,4
2960,29600070,3
2985,29850074,3
3015,30150047,41
3070,30700064,4
3100,31000064,4
3120,31200068,3
3175,31750065,4
3200,32000068,3
3230,32300069,3
3250,32500068,3
3280,32800070,3
3310,33100066,3
3330,33300073,3
3337,33370066,3
3390,33900075,3
3440,34400078,4
3447,34470043,3
3470,34700050,3
3495,34950050,3
3502,35020069,4
3550,35500066,4
3585,35850052,3
3605,36050067,3
3655,36550079,5
3710,37100057,3
3735,37350049,4
3760,37600063,4
3767,37670061,4
3815,38150059,4
3845,38450057,3
3865,38650066,4
3925,39250067,4
3950,39500057,3
3975,39750045,4
3982,39820069,4
4010,40100057,3
4030,40300067,3
4140,41400051,5
4150,41500074,3
4160,41600073,4
4190,41900064,3
4220,42200061,4
4245,42450046,5
4270,42700069,3
4300,43000073,4
4325,43250061,4
4355,43550039,5
4370,43700060,3
4380,43800058,3
4405,44050073,4
4412,44120059,4
4435,44350063,4
4460,44600064,4
4515,45150062,4
4565,45650063,4
4595,45950063,4
4620,46200051,4
4650,46500053,3
4675,46750070,4
4700,47000072,3
4730,47300070,3
4780,47800076,3
4835,48350057,4
4875,48750049,4
4890,48900053,3
4915,49150074,4
4945,49450083,3
4960,49600076,4
4970,49700066,4
4995,49950043,3
5020,50200071,4
5050,50500070,4
5075,50750060,4
5095,50950072,3
5155,51550058,4
5185,51850067,3
5205,52050051,3
5240,52400059,3
5250,52500044,4
5265,52650037,3
5275,52750063,4
5315,53150057,3
5370,53700043,4
5400,54000054,3
5450,54500058,3
5480,54800057,3
5550,55500064,3
5560,55600076,4
5570,55700071,3
5585,55850059,3
5620,56200062,4
5665,56650063,4
5690,56900060,3
5697,56970041,3
5745,57450050,4
5775,57750059,3
5800,58000070,3
5830,58300065,4
5855,58550047,4
5880,58800051,3
5935,59350067,4
5960,59600046,3
5975,59750060,3
5985,59850051,3
6015,60150047,3
6040,60400070,4
6070,60700064,5
6095,60950055,3
6102,61020083,4
6120,61200051,4
6155,61550063,4
6165,61650058,4
6230,62300055,5
6255,62550052,3
6280,62800070,3
6310,63100066,4
6335,63350059,4
6360,63600041,4
6390,63900052,3
6410,64100071,3
6465,64650035,3
6500,65000046,4
6550,65500065,4
6630,66300059,4
6650,66500057,3
6710,67100060,3
6740,67400046,4
6815,68150062,4
6845,68450058,4
6870,68700050,4
6925,69250072,3
6950,69500061,3
6980,69800062,4
7005,70050062,3
7030,70300067,4
7060,70600073,4
7085,70850060,3
7092,70920054,4
7115,71150059,3
7140,71400063,3
7165,71650070,3
7190,71900060,3
7245,72450054,3
7275,72750050,4
7300,73000067,3
7325,73250060,4
7350,73500047,4
7380,73800062,3
7390,73900074,3
7405,74050068,4
7412,74120059,3
7450,74500067,3
7460,74600054,4
7490,74900047,3
7500,75000051,3
7510,75100068,4
7570,75700069,3
7605,76050049,3
7675,76750072,4
7700,77000069,4
7725,77250052,4
7755,77550044,3
7790,77900058,3
7835,78350060,3
7890,78900054,3
7915,79150065,4
7940,79400062,4
7970,79700058,4
7995,79950045,3
8020,80200071,4
8050,80500070,3
8100,81000068,3
8107,81070067,3
8130,81300066,4
8155,81550068,36
8185,81850078,3
8210,82100061,3
8255,82550051,3
8265,82650046,4
8315,83150121,4
8345,83450062,4
8370,83700050,3
8385,83850043,3
8425,84250068,3
8480,84800057,4
8500,85000070,4
8530,85300073,3
8545,85450066,4
8555,85550049,5
8585,85850067,4
8640,86400052,3
8680,86800072,3
8690,86900060,3
8745,87450050,4
8770,87700070,3
8800,88000070,4
8820,88200051,3
8840,88400055,3
8850,88500052,4
8857,88570083,3
8875,88750100,3
8910,89100057,4
8920,89200061,3
8940,89400054,4
8960,89600068,3
8990,89900071,4
9015,90150077,4
9065,90650058,4
9072,90720068,3
9120,91200051,4
9175,91750104,4
9230,92300062,3
9255,92550082,3
9280,92800070,4
9287,92870113,3
9335,93350082,3
9365,93650060,3
9390,93900066,4
9415,94150100,3
9440,94400060,4
9447,94470072,3
9470,94700089,4
9495,94950079,3
9515,95150076,3
9550,95500064,3
9570,95700050,3
9580,95800071,3
9605,96050071,3
9630,96300053,4
9660,96600053,3
9685,96850067,3
9710,97100057,4
9745,97450067,3
9765,97650045,4
9800,98000051,3
9815,98150074,4
9845,98450058,3
9870,98700058,3
9925,99250069,4
9980,99800049,3
10030,100300070,4
10060,100600115,3
10085,100850061,3
10100,101000055,3
10110,101100045,3
10117,101170076,3
10165,101650067,4
10245,102450044,3
10260,102600065,3
10275,102750050,3
10325,103250057,3
10355,103550060,4
10380,103800042,4
10405,104050110,3
10460,104600062,6
10500,105000051,3
10515,105150038,4
10530,105300044,4
10545,105450051,4
10595,105950049,3
10620,106200040,3
10675,106750124,4
10700,107000070,4
10730,107300056,3
10785,107850051,4
10835,108350051,3
10890,108900054,4
10897,108970108,3
10920,109200055,3
10945,109450103,3
10970,109700059,4
11000,110000059,4
11020,110200111,4
11050,110500079,3
11075,110750086,4
11130,111300079,3
11155,111550094,4
11190,111900051,3
11205,112050051,3
11260,112600066,3
11285,112850060,3
11315,113150092,4
11325,113250070,3
11375,113750079,3
11395,113950090,4
11425,114250072,3
11450,114500060,4
11457,114570053,4
11480,114800051,4
11505,115050055,3
11535,115350073,3
11560,115600103,3
11585,115850057,3
11605,116050071,4
11685,116850047,3
11705,117050060,4
11725,117250072,3
11740,117400060,4
11747,117470077,3
11775,117750071,3
11800,118000059,3
11855,118550073,4
11880,118800056,4
11887,118870080,3
11905,119050089,3
11935,119350107,4
11960,119600067,3
11980,119800094,3
12035,120350061,4
12065,120650057,3
12095,120950051,2
12110,121100046,4
12120,121200049,4
12145,121450084,3
12175,121750123,4
12205,122050064,3
12225,122250051,4
12232,122320108,3
12265,122650067,4
12280,122800071,3
12310,123100066,4
12335,123350054,3
12390,123900065,3
12415,124150090,4
12445,124450083,3
12550,125500069,6
12605,126050063,4
12650,126500053,4
